ANIO_ESTAD,ENT_REGIS,MES_ENTREV,DIA_ENTREV,SEXO,EDAD,ENT_RESID,MUN_RESID,PAIS_RESID,NACIONALID,PAIS_EXTRA,ESCOLARIDA,COND_ESCOL,OCUPACION,LENGUA_1,LENGUA_2,LENGUA_3,ESTIM_FAM,PRIM_VISIT,VISIT_ANIO,ANIOS_VISI,VIS_OTROS,VISO_CUANT,MEDIO_1,MEDIO_2,PLAN_VISIT,MV_ACOMP,MV_CULTURA,MV_APREND,MV_ESCOLAR,MV_LABORAL,MV_CONOCER,MV_ENTRETE,MV_EDIFICI,MV_TALLER,MV_OTRO,MEDIO_TRAN,TIEMPO_TRA,TIPO_ENTRA,PAV_NADIE,PAV_FAMILI,PAV_PAREJA,PAV_AMIGO,PAV_COMPA,PAV_ESCOLA,PAV_TURIST,PAV_OTRO,TAM_GRUPO,MENORES_12,SU_SALAS,SU_TIENDA,SU_VISGUIA,SU_AUDIOG,SU_TALLER,SU_ACADEM,SU_ACULTUR,SU_BIBLIOT,SU_ARCHIVO,SU_SILLA,SU_OTRO,OPIN_EXPOS,NIV_APREND,DUR_VIS_H,DUR_VIS_M,REPETIR_VI,RECOMIE_VI,EVAL_GRAL,M_NOVIS_1,M_NOVIS_2,M_NOVIS_3
2023,01,7,1,1,35,31,050,000,1,000,9,1,7,2,1,,1,2,00,08,1,06,07,,1,0,0,0,0,0,1,1,0,0,0,3,2,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,09,0,30,1,14,8,05,04,
2023,01,7,1,2,31,01,001,000,1,000,4,1,9,1,,,2,1,,,2,,03,,2,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,3,07,0,10,1,15,8,03,,
2023,01,7,1,1,26,14,039,000,1,000,7,1,2,1,,,2,1,,,2,,04,,2,0,0,0,0,0,1,0,0,0,0,5,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,09,0,30,1,15,9,05,,
2023,01,7,1,1,25,15,106,000,1,000,3,1,7,1,,,2,1,,,2,,04,,2,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,2,09,0,10,1,15,9,03,,
2023,01,7,1,1,30,01,001,000,1,000,7,1,9,1,,,1,1,,,2,,09,,2,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,2,08,0,30,1,15,8,08,09,
2023,01,7,2,1,45,17,007,000,1,000,9,1,2,2,1,,1,2,00,04,1,20,06,03,1,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,002,000,1,0,0,0,0,0,0,0,0,0,0,1,10,0,30,1,13,9,07,,
2023,01,7,2,2,45,01,001,000,1,000,4,1,5,1,,,2,1,,,2,,11,,2,0,0,0,0,0,0,0,1,0,0,6,2,1,0,0,0,1,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,07,0,27,1,12,9,06,,
2023,01,7,2,2,21,20,040,000,1,000,9,2,11,4,1,,2,1,,,1,01,07,06,2,0,0,0,0,0,1,0,0,0,0,3,3,2,0,1,0,0,0,0,0,0,002,000,1,0,0,0,0,0,0,0,0,0,0,2,10,0,30,1,11,10,09,,
2023,01,7,2,2,15,22,014,000,1,000,4,1,98,1,,,2,1,,,2,,05,,2,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,07,0,35,1,11,9,01,,
2023,01,7,2,2,28,01,001,000,1,000,7,1,8,1,,,2,2,01,00,1,02,02,,2,0,0,1,0,0,1,0,0,0,0,4,1,2,0,1,0,0,0,0,0,0,006,002,1,0,0,0,0,0,0,0,0,0,0,2,09,0,10,1,11,9,09,,
2023,01,7,2,2,57,01,001,000,1,000,9,2,11,1,,,2,1,,,1,02,08,,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,002,000,1,0,0,0,0,0,0,0,0,0,0,2,08,0,15,1,13,9,07,,
